0.030173,0.053502,0.07972,-0,0.0096923,0.019576,-0.056037,-0.10182,-0.11143
0.034472,0.050063,0.071152,-0,0.0005917,0.0022832,-0.055808,-0.10701,-0.12552
0.036443,0.04165,0.05662,-0,-0.0068594,-0.013482,-0.053544,-0.10065,-0.13288
0.038369,0.030994,0.03951,-0,-0.017164,-0.032192,-0.047492,-0.081127,-0.12192
0.03441,0.021736,0.024429,-0,-0.024218,-0.047406,-0.038196,-0.056916,-0.10915
0.033346,0.0088073,0.005178,-0,-0.028684,-0.059517,-0.018774,-0.040836,-0.098804
0.02532,-0.0095985,-0.021858,-0,-0.035596,-0.080212,0.0010211,-0.047199,-0.10302
0.0053445,-0.015061,-0.042079,-0,-0.022435,-0.08826,0.017752,-0.046432,-0.096686
0.00035166,-0.031536,-0.073802,-0,-0.024943,-0.09169,0.014368,-0.04094,-0.10272
-0.0087994,-0.040787,-0.11383,-0,-0.04382,-0.1214,-0.0011741,-0.059833,-0.11883
-0.010853,-0.052997,-0.12031,-0,-0.05739,-0.13084,-0.0058213,-0.073024,-0.1282
