-0.043985,-0.15381,-0.011179,-0.078269,0,-0.055057,-0.0012231,0.0025208
-0.039697,-0.1464,-0.010249,-0.073498,0,-0.034299,-0.002881,0.0013664
-0.03606,-0.13913,-0.0098413,-0.065738,0,-0.013076,-0.0068683,0.0027262
-0.030174,-0.13004,-0.0084847,-0.059782,0,0.010961,-0.0079559,0.0061047
-0.027385,-0.11772,-0.0084155,-0.053876,0,0.037384,-0.010547,0.0087293
-0.0186,-0.099872,-0.0065222,-0.042723,0,0.071918,-0.012379,0.020736
-0.029903,-0.06371,-0.022147,-0.01134,0,0.12731,-0.032877,0.03397
-0.0037755,-0.049523,0.0018333,0.001302,0,0.16067,-0.015343,0.028175
0.016765,-0.017931,0.015957,0.022752,0,0.18535,-0.01031,0.020129
0.00093616,0.0018205,0.0059136,0.040546,0,0.23555,-0.01223,0.035597
0.0035449,0.024762,0.0050923,0.06742,0,0.28078,-0.021809,0.034205
